Channel,Velocity,Conversion,Value
Banner Ads,116.282838326879,0.0777953412150964,2586.09978249297
Email,110.74304234935,0.0529536268208176,3761.50209223852
Search,124.261170288082,0.0693502774462104,6119.40218368545
Events,23.7619550898671,0.0889248474035412,5757.40572996438
Social,121.343896351755,0.0824868025956675,5425.63441209495
Content Syndication,36.7841859231703,0.0890633624512702,2396.92708943039
Nurture,30.726479308214,0.0241480510216206,6321.72799669206
Sponsorship,55.1225619041361,0.0389538716059178,5938.49707627669
Display,143.331882997882,0.00218722021672875,8178.07669518515
Retargetting,11.3623915356584,0.0877941377460957,8414.072599262
Newsletter Sponsorship,4.46267154766247,0.086061509209685,1503.15360864624
